subject,form,chapter,type,question,image,A,B,C,D,answer,explain
Sejarah,F1,Bab 1: Mengenali Sejarah,radio,Apakah maksud sejarah?,,Peristiwa yang telah berlaku pada masa lalu,Cerita rekaan untuk hiburan,Ramalan masa depan,Kajian tentang tumbuhan,Peristiwa yang telah berlaku pada masa lalu,Sejarah ialah peristiwa yang benar-benar berlaku pada masa lalu.
Sejarah,F1,Bab 1: Mengenali Sejarah,radio,Apakah contoh sumber primer?,,Buku teks,Majalah,Fosil,Cerita lisan yang tidak disemak,Fosil,Sumber primer ialah sumber asal seperti fosil manuskrip batu bersurat dan artifak.
Sejarah,F2,Bab 1: Kerajaan Alam Melayu,radio,Kerajaan Alam Melayu terkenal dengan aktiviti apa?,,Perdagangan,Perlombongan moden,Pembuatan kapal terbang,Industri komputer,Perdagangan,Kerajaan Alam Melayu berkembang melalui perdagangan dan hubungan luar.
Sejarah,F3,Bab 1: Kedatangan Kuasa Barat,radio,Apakah faktor utama kedatangan kuasa Barat ke negara kita?,,Mencari bahan mentah,Melawat tempat menarik,Membantu rakyat tempatan,Membina sekolah sahaja,Mencari bahan mentah,Kuasa Barat datang untuk mendapatkan bahan mentah seperti bijih timah dan rempah-ratus.
Sejarah,F4,Bab 1: Warisan Negara Bangsa,radio,Apakah maksud kedaulatan?,,Kuasa tertinggi sesebuah negara,Sistem jual beli,Hubungan keluarga diraja,Kawasan tanaman padi,Kuasa tertinggi sesebuah negara,Kedaulatan bermaksud kuasa tertinggi yang dimiliki oleh sesebuah negara untuk memerintah.
Sejarah,F5,Bab 1: Kedaulatan Negara,radio,Mengapakah kedaulatan penting kepada sesebuah negara?,,Menjamin keamanan dan kestabilan,Menghapuskan semua undang-undang,Mengurangkan semangat patriotik,Mengelakkan pilihan raya,Menjamin keamanan dan kestabilan,Kedaulatan penting untuk mengekalkan keamanan kestabilan politik dan maruah negara.
English,F2,vocab email,radio,What does reasonable mean?,,Very expensive,Cheap and fair ,Too old,Very small,B,___________
English,F2,vocab email,radio,The word appreciate in the email means ________.,,throw away,dislike,value and be thankful for,forget,C,_____
English,F2,vocab email,radio,What does effort mean?,,Hard work ,Money,Time,Luck,A,____
English,F2,vocab email,radio,The word compare means ________.,,buy something,look at the differences between things,return something,make something,B,__
English,F2,vocab email,radio,I think buying the bracelet from an online store ________ a good idea.,,are,were,is,be,C,______________
English,F2,vocab email,radio,There are many beautiful choices ________ reasonable prices.,,on,at,with,in,B,____ eg at a price/ at reasonable price
English,F2,vocab email,radio,You can compare prices ________ read customers' reviews.,,but,or,and,because,C,compare prices _ read reviews __________ and
English,F2,vocab email,radio,I'm sure your sister ________ your love and effort.,,appreciates,appreciated,will appreciate,appreciating,C,"I'm sure...____________________will appreciate__""__________"""
English,F2,vocab email,radio,"Nowadays, cyberbullying has become a ________ problem among teenagers.",,funny,serious,boring,simple,B,
English,F2,vocab email,radio,"Nowadays, cyberbullying has become a serious problem ________ teenagers.",,between,among,during,over,B,
English,F2,vocab email,radio,"Words can ________ more than we think, so we should always use the Internet wisely.",,clean,hurt,build,save,B,
English,F2,vocab email,radio,"Words can hurt more than we think, so we should always use the Internet ________.",,quickly,loudly,wisely,carelessly,C,
English,F2,vocab email,radio,"Together, we can ________ a safer and kinder online environment for everyone.",,create,destroy,forget,lose,A,
English,F2,vocab email,radio,"Together, we can create a safer and ________ online environment for everyone.",,noisier,kinder,dirtier,weaker,B,
English,F2,vocab email,radio,"Together, we can create a safer and kinder online ________ for everyone.",,lesson,classroom,competition,environment,D,
English,F4,vocab email,radio,,,,,,,,
English,F5,Reading: Vocabulary,radio,Choose the word with the closest meaning to assist.,,help,avoid,delay,refuse,help,
Geografi,F1,Bab 1: Arah,radio,Apakah arah yang bertentangan dengan utara?,,Timur,Selatan,Barat,Timur Laut,Selatan,Arah yang bertentangan dengan utara ialah selatan.
Geografi,F1,Bab 1: Arah,radio,Lihat gambar kompas di bawah. Arah manakah yang biasanya berada di bahagian atas kompas?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Compass_Rose_English_North.svg/512px-Compass_Rose_English_North.svg.png,Utara,Selatan,Timur,Barat,Utara,Bahagian atas kompas biasanya menunjukkan arah utara.
Geografi,F2,Bab 2: Peta Topografi,radio,Garisan kontur digunakan untuk menunjukkan apa?,,Ketinggian sesuatu kawasan,Jumlah penduduk,Jenis tanaman,Sempadan negeri,Ketinggian sesuatu kawasan,Garisan kontur menunjukkan ketinggian dan bentuk muka bumi.
Geografi,F3,Bab 1: Jadual dan Graf,radio,Apakah kegunaan graf bar?,,Membandingkan data antara kategori,Menunjukkan arah mata angin,Menentukan skala peta,Mengukur kelembapan udara,Membandingkan data antara kategori,Graf bar sesuai digunakan untuk membandingkan jumlah data bagi beberapa kategori.